Variable 1,Variable 2,Variable 3,Variable 4,Variable 5,Variable 6,Variable 7,Correlation (r),R²
AverageParticleSpeed,KineticEnergy,Pressure,RainAccumulated,RainRate,Temperature,VolumeEquivalentDiameter,0.36023071254510486,0.12976616626075396
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainIntensity,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.3601787947302037,0.1297287641733022
AverageParticleSpeed,KineticEnergy,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.3601787947302037,0.1297287641733022
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,SnowDepthIntensity,Temperature,WindSpeed,0.36013898166423935,0.12970008611415534
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainIntensity,SnowDepthIntensity,VolumeEquivalentDiameter,0.3599777421799488,0.1295839748649737
AverageParticleSpeed,KineticEnergy,Pressure,RainAccumulated,RainIntensity,SnowDepthIntensity,VolumeEquivalentDiameter,0.3599777421799488,0.1295839748649737
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainIntensity,RainRate,SnowDepthIntensity,0.35997774217994855,0.1295839748649735
AverageParticleSpeed,KineticEnergy,Pressure,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,0.35997774217994855,0.1295839748649735
KineticEnergy,Pressure,RainAbsolute,RainIntensity,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.35997774217994855,0.1295839748649735
KineticEnergy,Pressure,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.35997774217994855,0.1295839748649735
KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,Temperature,WindSpeed,0.35901587666137935,0.12889239969493876
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainIntensity,RainRate,Temperature,VolumeEquivalentDiameter,0.35823714493965897,0.12833385201451822
AverageParticleSpeed,KineticEnergy,RainAccumulated,RainIntensity,RainRate,Temperature,VolumeEquivalentDiameter,0.35823714493965897,0.12833385201451822
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainIntensity,RainRate,Temperature,0.3580324472407464,0.12818723327719786
AverageParticleSpeed,KineticEnergy,Pressure,RainAccumulated,RainIntensity,RainRate,Temperature,0.3580324472407464,0.12818723327719786
KineticEnergy,Pressure,RainAbsolute,RainIntensity,RainRate,Temperature,VolumeEquivalentDiameter,0.3580324472407464,0.12818723327719786
KineticEnergy,Pressure,RainAccumulated,RainIntensity,RainRate,Temperature,VolumeEquivalentDiameter,0.3580324472407464,0.12818723327719786
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainIntensity,Temperature,VolumeEquivalentDiameter,0.35803244724074634,0.1281872332771978
AverageParticleSpeed,KineticEnergy,Pressure,RainAccumulated,RainIntensity,Temperature,VolumeEquivalentDiameter,0.35803244724074634,0.1281872332771978
AverageParticleSpeed,Humidity,Pressure,RainAbsolute,RainAccumulated,RainRate,VolumeEquivalentDiameter,0.3562134404274811,0.12688801514118261
AverageParticleSpeed,Humidity,RainAbsolute,RainAccumulated,RainIntensity,RainRate,VolumeEquivalentDiameter,0.35516624564013893,0.1261430620421115
AverageParticleSpeed,Humidity,Pressure,RainAbsolute,RainAccumulated,RainIntensity,VolumeEquivalentDiameter,0.35508995492714945,0.12608887609016503
AverageParticleSpeed,Humidity,Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,0.35508995492714923,0.12608887609016486
Humidity,Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,VolumeEquivalentDiameter,0.35508995492714923,0.12608887609016486
