Variable 1,Variable 2,Variable 3,Variable 4,Variable 5,Variable 6,Variable 7,Variable 8,Correlation (r),R²
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainIntensity,RainRate,SnowDepthIntensity,WindSpeed,0.3401398977196131,0.11569515002070888
AverageParticleSpeed,KineticEnergy,Pressure,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,WindSpeed,0.3401398977196131,0.11569515002070888
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainIntensity,RainRate,Temperature,VolumeEquivalentDiameter,WindSpeed,0.3398650429396865,0.11550824741239495
AverageParticleSpeed,KineticEnergy,RainAccumulated,RainIntensity,RainRate,Temperature,VolumeEquivalentDiameter,WindSpeed,0.3398650429396865,0.11550824741239495
AverageParticleSpeed,Humidity,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,WindSpeed,0.3398330974423063,0.11548653411723203
AverageParticleSpeed,Humidity,Pressure,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,WindSpeed,0.3396724145372782,0.11537734919758456
Humidity,Pressure,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,WindSpeed,0.33967241453727814,0.11537734919758452
AverageParticleSpeed,Humidity,Pressure,RainAbsolute,RainAccumulated,SnowDepthIntensity,VolumeEquivalentDiameter,WindSpeed,0.33967241453727787,0.11537734919758434
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainIntensity,RainRate,Temperature,WindSpeed,0.33938238602572024,0.11518040394451098
AverageParticleSpeed,KineticEnergy,Pressure,RainAccumulated,RainIntensity,RainRate,Temperature,WindSpeed,0.33938238602572024,0.11518040394451098
KineticEnergy,Pressure,RainAbsolute,RainIntensity,RainRate,Temperature,VolumeEquivalentDiameter,WindSpeed,0.33938238602572024,0.11518040394451098
KineticEnergy,Pressure,RainAccumulated,RainIntensity,RainRate,Temperature,VolumeEquivalentDiameter,WindSpeed,0.33938238602572024,0.11518040394451098
